"","timestamp","quote"
"189","1496955540000","108.339996"
"190","1497041940000","107.269997"
"191","1497301140000","105.57"
"192","1497387540000","105.339996"
"193","1497473940000","105.07"
"194","1497560340000","102.599998"
"195","1497646740000","103.5"
"196","1497905940000","102.809998"
"197","1497992340000","103.93"
"198","1498078740000","104.440002"
"199","1498165140000","105.029999"
"200","1498251540000","105.93"
"201","1498510740000","105.089996"
"202","1498597140000","107.0"
"203","1498683540000","106.260002"
"204","1498769940000","106.160004"
"205","1498856340000","106.279999"
"206","1499115540000","105.370003"
"207","1499201940000","105.110001"
"208","1499288340000","105.459999"
"209","1499374740000","106.089996"
