"","timestamp","Dperiods","Ex","Mc","Rs","Ra","Os","Cs","Rps","Rms","Dc","La","Pf","Cp","Ds"
"2","1474405200000","0.0","0.0","0.0","10.0","0.0","10.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","1474491600000","0.0","0.0","0.0","10.0","10.0","5.070754716981131","5.070754716981131","0.0","0.0","0.0","0.0","5.0","0.0","0.0"
"4","1474578000000","0.06666666666666667","0.05555555555555556","0.0","10.0","10.0","5.070754716981131","5.070754716981131","0.0","0.0","0.0","0.0","5.0","8.074719170975683","0.2793821601540523"
"5","1474837200000","0.06666666666666667","0.05555555555555556","0.0","10.0","10.0","5.070754716981131","5.070754716981131","0.0","0.0","0.0","0.0","5.0","8.074719170975683","0.2793821601540523"
"6","1474923600000","0.06666666666666667","0.05555555555555556","0.0","10.0","3.318040313160331","0.25237116228070233","2.5144230769230766","0.0","0.0","0.0","0.0","1.7896379954655028","8.074719170975683","0.10704552779633802"
"7","1475010000000","0.13333333333333333","0.11111111111111112","0.0","10.0","3.427220613165578","0.356541565224221","3.9264705882352944","0.0","0.0","0.0","0.0","1.0459161138241142","10.0","0.2121794582683832"
"8","1475096400000","0.2","0.16666666666666669","0.0","10.0","5.52463817519987","0.38747911683492786","3.1694444444444434","0.0","0.0","0.0","0.0","1.8614341957651315","10.0","0.4165895574496956"
"9","1475182800000","0.26666666666666666","0.22222222222222224","0.0","10.0","7.135240798990899","0.399097147732731","6.027777777777779","0.0","0.0","0.0","0.0","1.6669018991401885","10.0","0.6628726250990878"
"10","1475442000000","0.3333333333333333","0.2777777777777778","0.0","10.0","9.132999345601554","0.4135685248242893","6.471615406726071","0.0","0.0","0.0","0.0","4.482524704691144","10.0","1.2238022494039686"
"11","1475528400000","0.4","0.33333333333333337","0.0","10.0","9.369745049567467","0.41045037422464237","7.136323336405015","0.0","0.0","0.0","0.0","5.145249467868291","10.0","1.5811512611449168"
"12","1475614800000","0.4666666666666667","0.3888888888888889","0.0","10.0","9.518977480224605","0.45914012954810235","7.07554945054945","0.0","0.0","0.0","0.0","4.354602561704421","10.0","1.7359026590845044"
"13","1475701200000","0.4862211651646079","0.40518430430383995","0.0","10.0","9.556750376186718","0.47476398897077776","6.958055555555555","0.0","0.0","0.0","0.0","6.315974358420239","10.0","2.0976998544190137"
"14","1475787600000","0.4864153567234142","0.4053461306028452","0.0","10.0","9.707457255412779","0.8267669102010011","7.780683229813663","0.0","0.0","0.0","0.0","9.453558396912792","10.0","2.6229041278961063"
"15","1476046800000","0.48759029600391685","0.4063252466699307","0.0","10.0","9.747737100570799","1.0413167470230011","7.496487603305785","0.0","0.0","0.0","0.0","9.514332730064957","10.0","2.6382141543210587"
"16","1476133200000","0.48813444241741916","0.406778702014516","0.0","10.0","9.758821447702784","1.0413167470230011","6.873658452226545","0.0","0.0","0.0","0.0","9.18925037088729","10.0","2.5684700535248433"
"17","1476219600000","0.4882682917007101","0.40689024308392513","0.0","10.0","9.763394070250113","0.9899866795278123","6.834926624737946","0.0","0.0","0.0","0.0","9.261937150555832","10.0","2.576753903056624"
"18","1476306000000","0.48832155587696646","0.4069346298974721","0.0","10.0","9.771308449354352","1.1417800326626704","6.712942386831275","0.0","0.0","0.0","0.0","8.930275752107848","10.0","2.5291877478047735"
"19","1476392400000","0.48841897614248314","0.4070158134520693","0.0","10.0","9.778324886734454","1.161568014270471","6.665989570798234","0.0","0.0","0.0","0.0","9.311118571199072","10.0","2.5860337182452056"
"20","1476651600000","0.48851655287990137","0.4070971273999178","0.0","10.0","9.788342219382894","1.160074300699302","6.347834302064026","0.0","0.0","0.0","0.0","9.235890430168622","10.0","2.5632401367883237"
"21","1476738000000","0.48865840001327565","0.4072153333443964","0.0","10.0","9.79286157342867","1.2931959429714568","6.331037488021678","0.0","0.0","0.0","0.0","9.063546422274595","10.0","2.5431428520012664"
"22","1476824400000","0.48873064068745975","0.40727553390621646","0.0","10.0","9.803236573203426","1.3967510153077167","6.23633314727617","0.0","0.0","0.0","0.0","9.403547721538892","10.0","2.595458913476207"
"23","1476910800000","0.5750900593100887","0.4792417160917406","0.4556673979940422","10.0","9.813699616339617","1.3740266718600957","6.152010769037841","5.072885543591661","5.290757647311408","6.486979504299754","9.52028461994444","8.868487870576121","10.0","3.683661788500184"
"24","1476997200000","0.6754013650290561","0.5628344708575468","0.5082291240001321","9.820851384390036","9.821202968336005","1.4278172990063243","6.118715676978389","5.064110944380347","5.231057871371474","6.323731816083066","9.520635256442615","8.527485116891075","10.0","4.244636133042876"
"25","1477256400000","0.7546940119182861","0.6289116765985718","0.6567213347749553","9.735411273330888","9.82881576441368","1.4080415932384693","5.852624014388721","5.112334582730651","5.23419610720845","6.256360642497657","9.492107561821696","8.310450228998366","10.0","4.682379873813811"
"26","1477342800000","0.8979205767254838","0.7482671472712364","0.905268662881789","9.692480018457193","9.83499390947637","1.4489852442674023","5.804981891308531","5.272819588338863","5.210074101033575","6.320382464376286","9.499021075060316","8.874472606845329","10.0","5.763538548800632"
"27","1477429200000","1.0","0.8333333333333334","1.3210002698306276","9.666745260072103","9.842727074261719","1.4558378141523365","5.834453405017923","5.380856165593966","5.208417214805447","6.311371220546854","9.507299004477153","8.456174440682837","10.0","6.391946660143179"
"28","1477515600000","1.0666666666666667","0.888888888888889","1.3449227787211182","9.64965713205149","9.846931521432483","1.489864864864865","5.863688413803461","5.363499677287425","5.168442936110193","6.229497750212256","9.480786775685345","8.26098752177464","10.0","6.737247320634662"
